https,matdom,kwc,preshtml,ipurl,presjs,presform,subdom,dkim,spf,dmarc,mx,numlinks,imgurl,numdoms,res
-1,-1,0.022549609,1,0,-1,-1,-1,-1,-1,-1,1,0.063890559,0.003758268,0.296903187,-1
-1,-1,0.007580352,-1,0,-1,-1,-1,-1,0,-1,1,0.030321407,0.001895088,0.303214069,-1
-1,1,0.062539087,1,0,-1,-1,-1,-1,-1,-1,-1,0.078173859,0.015634772,0.406504065,-1
-1,-1,0.013223515,-1,0,-1,-1,-1,-1,-1,-1,-1,0.083119238,0.001889074,0.241801421,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,-1,0.007754342,-1,0,-1,-1,-1,-1,-1,-1,-1,0.085297767,0.001938586,0.248138958,-1
1,-1,0.005899618,1,0,-1,-1,-1,-1,-1,-1,-1,0.067845607,0.001474904,0.194687394,-1
-1,-1,0.009944905,-1,0,-1,-1,-1,-1,-1,-1,-1,0.087515166,0.001988981,0.254589574,-1
-1,-1,0.009944905,-1,0,-1,-1,-1,-1,-1,-1,-1,0.087515166,0.001988981,0.254589574,-1
-1,-1,0.007773481,-1,0,-1,-1,-1,-1,-1,-1,-1,0.085508288,0.00194337,0.248751385,-1
-1,-1,0.007773481,-1,0,-1,-1,-1,-1,-1,-1,-1,0.085508288,0.00194337,0.248751385,-1
-1,-1,0.011680651,-1,0,-1,-1,-1,-1,-1,-1,-1,0.085658107,0.001946775,0.249187221,-1
-1,-1,0.010499974,-1,0,-1,-1,-1,-1,-1,-1,-1,0.076999808,0.001749996,0.22399944,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,-1,0.007836223,-1,0,-1,-1,-1,-1,-1,-1,-1,0.086198452,0.001959056,0.250759134,-1
-1,-1,0.00784606,-1,0,-1,-1,-1,-1,-1,-1,-1,0.086306663,0.001961515,0.25107393,-1
-1,-1,0.00784606,-1,0,-1,-1,-1,-1,-1,-1,-1,0.086306663,0.001961515,0.25107393,-1
-1,-1,0.009806614,-1,0,-1,-1,-1,-1,-1,-1,-1,0.0862982,0.001961323,0.251049308,-1
-1,-1,0.007849602,-1,0,-1,-1,-1,-1,-1,-1,-1,0.086345618,0.0019624,0.251187252,-1
-1,-1,0.012417072,-1,0,-1,-1,-1,-1,-1,-1,-1,0.078050165,0.001773867,0.227055025,-1
-1,-1,0.009516559,-1,0,-1,-1,-1,-1,-1,-1,-1,0.083745718,0.001903312,0.243623906,-1
-1,-1,0.039051059,-1,0,-1,-1,-1,-1,-1,-1,-1,0.078102119,0.009762765,0.26359465,-1
-1,-1,0.039051059,-1,0,-1,-1,-1,-1,-1,-1,-1,0.078102119,0.009762765,0.26359465,-1
-1,1,0.431034483,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0.646551724,-1
-1,1,0.419287212,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0.628930818,-1
-1,1,0.248138958,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0.992555831,-1
-1,-1,0.439077936,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0.329308452,-1
-1,-1,0.439077936,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0.329308452,-1
-1,-1,0.440044004,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0.330033003,-1
-1,1,0.011590172,-1,0,-1,-1,-1,-1,-1,-1,-1,0.011590172,0.001655739,0.152327969,-1
-1,-1,0.005896574,-1,0,-1,-1,-1,-1,-1,-1,-1,0.035379445,0.005896574,0.477622501,-1
-1,-1,0.009036689,-1,0,-1,-1,-1,-1,-1,-1,1,0.039158985,0.00301223,0.301222965,-1
-1,-1,0.009971747,-1,0,-1,-1,-1,-1,-1,-1,1,0.046534818,0.003323916,0.176167525,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,-1,0.004979418,-1,0,-1,-1,-1,-1,0,-1,1,0.034855929,0.001659806,0.333621033,-1
1,-1,0.034578147,-1,0,-1,-1,-1,0,-1,0,-1,0.024204703,0.003457815,0.439142462,-1
1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,0.05648122,0.007060152,0.183563965,-1
-1,-1,0.019788918,-1,0,-1,-1,-1,-1,-1,-1,-1,0.009894459,0.003298153,0.385883905,-1
-1,-1,0.013258831,-1,0,-1,-1,-1,-1,-1,-1,-1,0.083341225,0.001894119,0.242447201,-1
1,-1,0.007393387,1,0,-1,-1,-1,-1,-1,-1,-1,0.068019164,0.001478677,0.195185426,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
1,-1,0.027912689,-1,0,-1,-1,-1,-1,-1,-1,-1,0.089320605,0.005582538,0.362864958,-1
1,-1,0.028299751,-1,0,-1,-1,-1,-1,-1,-1,-1,0.090559203,0.00565995,0.373556713,-1
1,-1,0.030145906,-1,0,-1,-1,-1,-1,-1,-1,-1,0.090437719,0.006029181,0.379838418,-1
